"Set number";"Name";"Theme";"Pieces";"Dimensions";"Weight";"RRP";"Year"
"60016-1";"Tanker Truck";"City";191;"26.2 x 19.1 x 7.2 cm (10.3 x 7.5 x 2.8 in)";"0.41Kg (0.9 lb)";"£17.99 / US$19.99 / €19.99";"2013"
"60017-1";"Flatbed Truck";"City";212;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.39Kg (0.86 lb)";"£17.99 / US$19.99 / €19.99";"2013"
"60018-1";"Cement Mixer";"City";221;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.39Kg (0.86 lb)";"£17.99 / US$19.99 / €19.99";"2013"
"60019-1";"Stunt Plane";"City";140;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.24Kg (0.53 lb)";"£9.99 / US$19.99 / €12.99";"2013"
"60020-1";"Cargo Truck";"City";321;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.57Kg (1.26 lb)";"£24.99 / US$39.99 / €29.99";"2013"
"60021-1";"Cargo Heliplane";"City";393;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.79Kg (1.74 lb)";"£34.99 / US$44.99 / €39.99";"2013"
"60022-1";"Cargo Terminal";"City";658;"48 x 37.8 x 9.4 cm (18.9 x 14.9 x 3.7 in)";"1.81Kg (3.99 lb)";"£69.99 / US$99.99 / €89.99";"2013"
"60023-1";"LEGO City Starter Set";"City";272;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.5Kg (1.1 lb)";"£19.99 / US$29.99 / €24.99";"2013"
"60025-1";"Grand Prix Truck";"City";315;"35.4 x 19.1 x 7 cm (13.9 x 7.5 x 2.8 in)";"0.67Kg (1.48 lb)";"£24.99 / US$29.99 / €29.99";"2013"
"60027-1";"Monster Truck Transporter";"City";299;"35.4 x 19.1 x 7 cm (13.9 x 7.5 x 2.8 in)";"0.6Kg (1.32 lb)";"£24.99 / US$29.99 / €29.99";"2013"
"60032-1";"Arctic Snowmobile";"City";44;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.08Kg (0.18 lb)";"£4.99 / US$6.99 / €5.99";"2014"
"60033-1";"Arctic Ice Crawler";"City";113;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.22Kg (0.48 lb)";"£9.99 / US$14.99 / €14.99";"2014"
"60034-1";"Arctic Helicrane";"City";262;"28.2 x 26.2 x 5.9 cm (11.1 x 10.3 x 2.3 in)";"0.52Kg (1.15 lb)";"£24.99 / US$39.99 / €29.99";"2014"
"60035-1";"Arctic Outpost";"City";374;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.68Kg (1.5 lb)";"£34.99 / US$49.99 / €39.99";"2014"
"60036-1";"Arctic Base Camp";"City";733;"48 x 37.8 x 7.1 cm (18.9 x 14.9 x 2.8 in)";"1.41Kg (3.11 lb)";"£69.99 / US$89.99 / €89.99";"2014"
"60041-1";"Crook Pursuit";"City";38;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.07Kg (0.15 lb)";"£4.99 / US$6.99 / €5.99";"2014"
"60042-1";"High Speed Police Chase";"City";110;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.21Kg (0.46 lb)";"£12.99 / US$19.99 / €14.99";"2014"
"60043-1";"Prisoner Transporter";"City";196;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.36Kg (0.79 lb)";"£17.99 / US$24.99 / €19.99";"2014"
"60044-1";"Mobile Police Unit";"City";375;"38.2 x 26.2 x 5.6 cm (15 x 10.3 x 2.2 in)";"0.77Kg (1.7 lb)";"£29.99 / US$44.99 / €29.99";"2014"
"60045-1";"Police Patrol";"City";408;"38.2 x 26.2 x 7.1 cm (15 x 10.3 x 2.8 in)";"0.81Kg (1.78 lb)";"£39.99 / US$44.99 / €39.99";"2014"
