piece_id,descr
6542,"Technic, Gear 16 Tooth with Clutch"
6538c,Technic Axle Connector [Smooth X hole + orientation]
32072,Technic Knob Wheel
87313,"CAT, ASSEMBLED"
3068bpr0213,Tile 2 x 2 with SW Droid T7-O1 Panel Print [9497]
59226,Dragon Head (Fantasy Era) Upper Jaw with Black Scales and Yellow Eyes Print
16317,"MINI LOWER PART ""NO. 616"""
15570,"ROUND PLATE 1X1 ""NO. 1000"""
15327,DUPLO SHOWER
11835,DUPLO SHOWER CURTAIN
13457,"SLEEPING BAG 5X8, DEC. 2"
13415,"SLEEPING BAG 5X8, DEC. 1"
12785,DUPLO BRICK 1X2X2 NO. 2
13161,DUPLO BRICK 1X2X2 NO. 3
61257,BRICK 1X2X2 DECO. JUICE
40490,Technic Beam 1 x 9 Thick
973pr2414c01,Torso with Scarecrow Chest and Arm Print / Dark Tan Arms / Tan Hands
18386,BRICK 1X2X2 77 DEGREES 1 M - ASS.
3626cpr1390,MINI HEAD NO.1390
3626cpr1341,MINI HEAD NO. 1341
15320,"TRACTOR WHEELBASE, ASSEMBLED"
822ac02,Garage Door Solid Assembly - Old (Hinge Pins on Counterweights - Both Sides)
3626cpr0933,MINI HEAD  NO.933
98100pr1000,Round 2 x 2 Truncated Cone with Millennium Falcon Cockpit Print
17556,"DUPLO BRICK 2X2, TRANSPARENT"
45301pb17,Wedge 16 x 4 Triple Curved with Black and Red Air Intake and White 'POLICE' on Black Print (Stickers) - Set 5983
14498,Sticker Sheet for 75020-1
3626bpx449,"Minifig Head with Black Unibrow, Dirty Face, and Glad Expression/Clenched Teeth Print doc"
but014,Minifig - Buttons
3626bpb671,"Minifig, Head Dual Sided Sunken Eyes, Cheek Lines, Teeth / Closed Mouth Print (SW Anakin Sith)"
31304c01pb02,"Duplo, Train Freight Container with Timber Print with Yellow Container Frame"
15954,Duplo Brick 2 x 2 with Three Chicks Print
14249,Sticker Sheet for 41006-1
99872,"DUPLO BRICK 2X2X2,R=15,DEC EYE"
10446,"DUPLO BRICK, BOW 2X3X1, EYE"
14639,DUPLO CHASSIS 2X6
92456pr0047c01,Torso Friends Medium Blue Cinderella Star Burst Dress with Bright Light Blue Sleeves and Gloves
98465,DUPLO ADULT FIGURE
4150pb43,"Tile, Round 2 x 2 with White Curved Arrow on Yellow Background Print (Sticker) - Set 7939"
15569,TOURNAMENT HELMET NO 1000
973pr2418c01,Torso with Cat Sweater and Necklace Print / Lavender Arms / Yellow Hands
3069bpr0130,"Tile 1 x 2 with Smartphone with Phone, Mail, Speech Bubble, Star, Flower, Note, Play Button and Sound Level Print"
13973,"DUPLO SIGN, ROUND NO. 3"
973pb755c01,Torso Harry Potter Uniform Slytherin Shield and Stripe Print / Dark Bluish Gray Arms / Light Flesh Hands
15064,Insect Leg / Tail
76371,DUPLO BRICK 1X2X2
41239,Technic Beam 1 x 13 Thick
14520,Brick Special 2 x 4 - 1 x 4 with 2 Recessed Studs and Side Arches
15868,"DUPLO BRICK 2X2 ""NO. 16"""
98834,"Vehicle, Spoiler 2 x 4 with Handle"
3626cpr1317,Minifigure Head Dual Sided - Orange Visor and Headset Stern / Angry Print
85964,BABY BLANKET 8X10 WITH STARS
5825stk01,"Sticker for Set 5825 - Sheet 1, Glitter Stars (22673/4128568)"
87988,Minifig Head Modified - Toy Story Alien with Three Eyes Print
15675,"WIG, PLAIT NO. 2"
3626cpr1206,MINI HEAD NO 1206
15071,Minifig Gun Base - 8 studs and Handle
3626cpr1284,MINI HEAD NO1284
973pr2234c01,Torso - Chi Armour Vest with Silver Wolf Head and Blue Chi Jewel Print / Light Bluish Gray Arms / White Hands
41747pq0,Wedge  2 x  6 Double Right with Bricks and Hieroglyphs Print
93597pr0002,"Vehicle Mudguard 3 x 4 with Headlights, Moustache Grille and Smile Print"
16121,"DUPLO BRICK 2X2 ""NO. 33"""
3068bpr0095,Tile 2 x 2 with Computer Monitor [Gray Power Button] Print
3626cpr0955,Minifig Head with Safety Glasses and Brown Mustache and Beard Print
973pr0090c01,Torso with Gold Crown and Silver Armour Print / Blue Arms / Black Hands
2654pr0003,Plate Round 2 x 2 with Rounded Bottom [Boat Stud] with Gorilla Face Print
3069bpr0134,Tile 1 x 2 with Gorilla Eyes Print [70125]
16279,"WALL 1X6X6 W. WINDOW ""NO. 2"""
15355,Hero Factory Jumper Top
3666,Plate 1 x 6
3069bpr0136,Tile 1 x 2 with Hero Factory HUD / Wrist Computer Print
15833,Minifig Mask - Chima Spider with 6 Orange Eye Spots and White Fangs Print
3626cpr1357,MINI HEAD NO 1357
3626cpr1358,MINI HEAD NO 1358
98138pr0019,Tile 1 X 1 Round with Hero Factory Logo Print
15339,Hero Factory Minifigure Chest/Shoulder Armour
15354,Hero Factory Jumper Base
16094,MINI LOWER PART NO. 590
16110,MINI LOWER PART NO. 591
15713,MINI LOWER PART NO. 565
15811,Minifig Mask - Chima Rhine with Striped Horn Print
15801,Minifig Mask - Chima Rhino with Repaired Horn Print
973pr2031c01,Torso Jacket with Pockets over Dark Red Sweater Print / Blue Arms / Yellow Hands
3626cpr1368,"Minifig Head Dual Sided - Brown Eyebrows, Black Eyes, Wrinkles and Smile / Grim Print - Recessed Stud"
87574,"Electric Train Motor 9V RC Train with PF Cable, Orange Wheel Holders"
54651,Duplo Penguin with Chest and Face Print
4066pb119,"Duplo, Brick 1 x 2 x 2 with Checkered Flag Print"
92456pr0051c01,Torso Friends Princess Dress Medium Blue and Bright Light Blue Sleeves and Gloves
85959,"FLAME 7M SHAFT Ø3,2 41/44"
16030,"CAMELEON W/ HOLE Ø1,5 - DEC.NO 1"
16715,"WALL 4X16X10 W. GATE ""NO. 2"""
alp006,Minifig - Alpha Team
3626cpr0920,MINI HEAD NO. 920
2431pr0199,Tile 1 x 4 with Laser Engraved MS-XXXXXXXX Code [LEGO Movie]
8386stk01,Sticker for Set 8386 - (49856/4225251)
73200,Minifig Legs Single Colour Placeholder
3626bpr0966,Minifig Head - Spider-Man Front Mask and Rear Web Print
15875pr0001,Hips and Princess Skirt with Gold Starburst and Knotwork Print
45677pr0001,Wedge 4 x 4 x 2/3 Triple Curved with Spider-Man Logo and Webbing Print
973pr2397c01,Torso Weequay Leather Armour Print / Bright Light Blue Arms / Medium Dark Flesh Hands
16927pr0008,Headgear Helmet - Clone Trooper with Camouflage Print
61678pr0001,Slope Curved 4 x 1 No Studs with Cinderella Scrollwork Print
13532,CABIN FOR STEAM TRAIN
10190,FROGMANS FOOT
2130,Duplo Trailer Open
16752,Hero Factory Beast Upper Jaw with Double Eye Print
15359,Hero Factory Beast Lower Jaw with Axle Hole
42610,Wheel 11 x 8 mm [Centre Groove]
13215,Warg Lower Jaw with Tan Teeth Print
15875pr0003,Hips and Princess Skirt with Cinderella Starburst Scrollwork Print
87079pr0062,Tile 2 x 4 with Batman Logo Print
973px354,Minifig Torso with Jersey with Celtics 8 / Walker 8 White Print
48196,"FLAT TILE 1X4 ""NO.28"""
61346,"LONG NECK, YOUNG ONE, DEC."
92456pr0011c01,"Torso Friends Medium Violet Top with Flowers Print, Light Flesh Arms with Hands"
13790,Minifig Truncheon
11920,Sticker Sheet for 41004-1
2587pr0018,"Minifig Breastplate with Leg Protection, Avatar Firebender Print [3828 / 3829]"
4515pb30,Slope 10 6 x 8 with 'BSC Brick Street Customs' Print (Sticker) - Set 8681
970c00pr0630,Legs and Olive Green Hips with Camouflage Knee Pads and Two Holsters Print
16566,"GLASS FOR FRAME 1X4X3 ""NO. 1"""
4286pb02,Slope 33 3 x 1 with Upside-down Number 1 on Right Side Only Print (Sticker) - Set 8209
30602pr0004,"Slope Curved 2 x 2 Lip, No Studs with Spider-Man Logo Print"
85863pr0036,Microfig Orient Bazaar Merchant Orange
3626cpr1086,"Minifig Head - Brown Angular Beard, Pupils and Teeth Print - Recessed Stud"
15899,"TRACTOR ELEMENT 4X6 ""NO. 1"""
32017,Technic Beam 1 x 5 Thin
div014,Minifig - Diver
4452,Container - Box 6 x 6 Bottom
16074,"MINI HEAD ""NO. 1326"""
776p11,"Flag on Flagpole Type 1 with United Kingdom Print classic,ho,h0 scale"
3626cpr1239,"Minifig Head Brown Bushy Moustache, Brown Eyebrows and Chin Strap Print - Recessed Stud"
3626bpx265,"Minifig Head with Thin Brown Eyebrows, Glasses, and White Pupils Print peter parker"
15744,Ornate Carriage Wheel [43.2mm]
973pr2399c01,Torso Shirt with Vertical Pleats and Belt Print / Dark Brown Arms / Tan Hands
2431pb103,Tile 1 x 4 with 'Turbo KIT' and Broad White Stripes Print (Sticker) - Set 8135
12756pb001,"Duplo, Brick 2 x 4 Curved Top with Red Apples Print"
83484,"FLAT TILE 1X1 ""GREY PANEL"""
81867,"ROUND FLAT TILE 2X2, PIZZA"
4265c,Technic Bush 1/2 Smooth
3626bpb509,"Minifig, Head Male Thick Black Eyebrows, Sideburns, Goatee, Moustache and White Pupils Print"
3008pb071,Brick 1 x 8 with Blue 'GARAGE' Sans-Serif Print
15345,Hero Factory Minifigure Helmet - STORMER
16494,"CAPE, LONG 128X53, COL.21"
88410,Minifigure Wide Brim Fedora
11169,"BRICK 2X2X1.5, INSIDE BOW"
3622pr0002,Brick 1 x 3 with Biznis Kitty Face with Glasses Print
973pr0020c01,Torso Peasant Blouse with Dark Pink Bow / White Arms / Yellow Hands
3626cpr1212,"Minifig Head - Saruman Thick Black Eyebrows, Gray and White Beard, Frown / Angry Print - Recessed Stud"
3794,Plate Special 1 x 2 with 1 Stud [aka Jumper]
970c00pr0408,Hips and Legs with Yellow Reflective Stripe Print
3004,Brick 1 x 2
973pr0060c01,Torso with Blue Pinstripe Suit Female and White Blouse Print
973pr1990c01,Torso White Venom Logo and Muscles Print / Black Arms / Black Hands
17944,ADULT FIGURE NO. 6 V2
17969,ADULT FIG. NO. 7 V2
16499,Duplo Figure Wand
3626cpr1371,"MINI HEAD ""NO. 1371"""
4209c01,String Reel 2 x 4 x 2 Complete
2958pb033,"Technic, Disk 3 x 3 with Purple, Silver and Lime 6 Section Print (Sticker) - Set 8305"
32009,Technic Beam 1 x 11.5 Double Bent Thick
973pr2595c01,Torso Ghostly Muscles [Necromancer] Print / Black Arms / Black Hands
99771,Duplo Princess Skirt Plain
14898,Sticker Sheet for 60060-1
973pr2407c01,Torso Robot with Yellow Triangle andRobot Armour Print / Black Arms / Dark Bluish Gray Hands
3626cpr1331,"MINI HEAD ""NO. 1331"""
92695,Technic Linear Actuator Small Axle Actuator
16057,Sticker Sheet for 70725-1
11791,"Minifigure Hulk Body with Hair, Face and Trousers Print"
16411,Sticker Sheet for 41052-1
